parameter,unit,value
lff,m,0.085
mff,kg,0.24327
lffo,m,0.035
iff,kg.m^2,0.00015299999999999998
lrf,m,0.139
mrf,kg,1.1694300000000002
lrfo,m,0.063
irf,kg.m^2,0.003009
lsh,m,0.453
msh,kg,5.37642
lsho,m,0.192
ish,kg.m^2,0.08078400000000001
lth,m,0.447
mth,kg,12.787230000000001
ltho,m,0.189
ith,kg.m^2,0.216495
lht,m,0.6
mht,kg,40.903999999999996
lhto,m,0.42744315959319384
iht,kg.m^2,1.4890305458460542
lua,m,0.323
mua,kg,3.22473
luao,m,0.138
iua,kg.m^2,0.029988
lla,m,0.469
mla,kg,1.8921000000000001
llao,m,0.168
ila,kg.m^2,0.028968
footang,deg,19.58
g,m/s^2,-9.81
k1,m^-1,0.00974
k2,s/m,1155.282193
k3,N/m,14435.41606
k4,N.s/m,0.0475
k5,m^-1,323.3806231
k6,s/m,2.15e-7
k7,N/m,149018.3201
k8,N.s/m,66196.28963
mtpb,N.m.s/rad,0.701068939
mtpk,N.m/rad,6.463830463
toexi,m,0.083614267
mtpxi,m,0.0
lrffo,m,0.121
lrff,m,0.222
